# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
 0.00   0.00   0.00   0.00   0.00   0.00   0.00
 0.10 5194.01   0.00   0.00   0.00   0.00   8.31
 0.20 10387.96   0.00   0.00   0.00   0.00  33.22
 0.30 15581.82   0.00   0.00   0.00   0.00  74.75
 0.40 20775.51   0.00   0.00   0.00   0.00 132.88
 0.50 25969.01   0.00   0.00   0.00   0.00 207.61
 0.60 31162.24   0.00   0.00   0.00   0.00 298.94
 0.70 36355.17   0.00   0.00   0.00   0.00 406.85
 0.80 41547.74   0.00   0.00   0.00   0.00 531.34
 0.90 46739.89   0.00   0.00   0.00   0.00 672.40
 1.00 51931.58   0.00   0.00   0.00   0.00 830.03
 1.10 57122.76   0.00   0.00   0.00   0.00 1004.19
 1.20 62313.37   0.00   0.00   0.00   0.00 1194.89
 1.30 67503.36   0.00   0.00   0.00   0.00 1402.10
 1.40 72692.69   0.00   0.00   0.00   0.00 1625.82
 1.50 77881.29   0.00   0.00   0.00   0.00 1866.02
 1.60 83069.12   0.00   0.00   0.00   0.00 2122.68
 1.70 88256.13   0.00   0.00   0.00   0.00 2395.79
 1.80 93442.27   0.00   0.00   0.00   0.00 2685.31
 1.90 98627.48   0.00   0.00   0.00   0.00 2991.24
 2.00 103811.71   0.00   0.00   0.00   0.00 3313.54
 2.10 108994.91   0.00   0.00   0.00   0.00 3652.19
 2.20 114177.03   0.00   0.00   0.00   0.00 4007.16
 2.30 119358.02   0.00   0.00   0.00   0.00 4378.42
 2.40 124537.83   0.00   0.00   0.00   0.00 4765.95
 2.50 129716.41   0.00   0.00   0.00   0.00 5169.72
 2.60 134893.70   0.00   0.00   0.00   0.00 5589.69
 2.70 140069.65   0.00   0.00   0.00   0.00 6025.82
 2.80 145244.21   0.00   0.00   0.00   0.00 6478.09
 2.90 150417.34   0.00   0.00   0.00   0.00 6946.46
 3.00 155588.97   0.00   0.00   0.00   0.00 7430.88
 3.10 160759.06   0.00   0.00   0.00   0.00 7931.34
 3.20 165927.56   0.00   0.00   0.00   0.00 8447.77
 3.30 171094.42   0.00   0.00   0.00   0.00 8980.15
