# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
 0.00   0.00   0.00   0.00   0.00   0.00   0.00
 0.10 5194.01   0.00   0.00   0.00   0.00   1.66
 0.20 10387.96   0.00   0.00   0.00   0.00   6.64
 0.30 15581.82   0.00   0.00   0.00   0.00  14.95
 0.40 20775.51   0.00   0.00   0.00   0.00  26.58
 0.50 25969.01   0.00   0.00   0.00   0.00  41.52
 0.60 31162.24   0.00   0.00   0.00   0.00  59.79
 0.70 36355.17   0.00   0.00   0.00   0.00  81.37
 0.80 41547.74   0.00   0.00   0.00   0.00 106.27
 0.90 46739.89   0.00   0.00   0.00   0.00 134.48
 1.00 51931.58   0.00   0.00   0.00   0.00 166.01
 1.10 57122.76   0.00   0.00   0.00   0.00 200.84
 1.20 62313.37   0.00   0.00   0.00   0.00 238.98
 1.30 67503.36   0.00   0.00   0.00   0.00 280.42
 1.40 72692.69   0.00   0.00   0.00   0.00 325.16
 1.50 77881.29   0.00   0.00   0.00   0.00 373.20
 1.60 83069.12   0.00   0.00   0.00   0.00 424.54
 1.70 88256.13   0.00   0.00   0.00   0.00 479.16
 1.80 93442.27   0.00   0.00   0.00   0.00 537.06
 1.90 98627.48   0.00   0.00   0.00   0.00 598.25
 2.00 103811.71   0.00   0.00   0.00   0.00 662.71
 2.10 108994.91   0.00   0.00   0.00   0.00 730.44
 2.20 114177.03   0.00   0.00   0.00   0.00 801.43
 2.30 119358.02   0.00   0.00   0.00   0.00 875.68
 2.40 124537.83   0.00   0.00   0.00   0.00 953.19
 2.50 129716.41   0.00   0.00   0.00   0.00 1033.94
 2.60 134893.70   0.00   0.00   0.00   0.00 1117.94
 2.70 140069.65   0.00   0.00   0.00   0.00 1205.16
 2.80 145244.21   0.00   0.00   0.00   0.00 1295.62
 2.90 150417.34   0.00   0.00   0.00   0.00 1389.29
 3.00 155588.97   0.00   0.00   0.00   0.00 1486.18
 3.10 160759.06   0.00   0.00   0.00   0.00 1586.27
 3.20 165927.56   0.00   0.00   0.00   0.00 1689.55
 3.30 171094.42   0.00   0.00   0.00   0.00 1796.03
 3.40 176259.58   0.00   0.00   0.00   0.00 1905.68
 3.50 181422.99   0.00   0.00   0.00   0.00 2018.51
 3.60 186584.61   0.00   0.00   0.00   0.00 2134.50
 3.70 191744.38   0.00   0.00   0.00   0.00 2253.64
 3.80 196902.24   0.00   0.00   0.00   0.00 2375.93
 3.90 202058.16   0.00   0.00   0.00   0.00 2501.35
 4.00 207212.07   0.00   0.00   0.00   0.00 2629.89
 4.10 212363.93   0.00   0.00   0.00   0.00 2761.55
 4.20 217513.69   0.00   0.00   0.00   0.00 2896.30
 4.30 222661.29   0.00   0.00   0.00   0.00 3034.16
 4.40 227806.68   0.00   0.00   0.00   0.00 3175.09
 4.50 232949.82   0.00   0.00   0.00   0.00 3319.10
 4.60 238090.65   0.00   0.00   0.00   0.00 3466.16
 4.70 243229.12   0.00   0.00   0.00   0.00 3616.27
 4.80 248365.18   0.00   0.00   0.00   0.00 3769.41
 4.90 253498.78   0.00   0.00   0.00   0.00 3925.58
 5.00 258629.86   0.00   0.00   0.00   0.00 4084.76
 5.10 263758.38   0.00   0.00   0.00   0.00 4246.94
 5.20 268884.29   0.00   0.00   0.00   0.00 4412.10
 5.30 274007.54   0.00   0.00   0.00   0.00 4580.23
 5.40 279128.07   0.00   0.00   0.00   0.00 4751.32
 5.50 284245.83   0.00   0.00   0.00   0.00 4925.36
 5.60 289360.78   0.00   0.00   0.00   0.00 5102.33
 5.70 294472.86   0.00   0.00   0.00   0.00 5282.21
 5.80 299582.02   0.00   0.00   0.00   0.00 5464.99
 5.90 304688.21   0.00   0.00   0.00   0.00 5650.67
 6.00 309791.39   0.00   0.00   0.00   0.00 5839.21
 6.10 314891.49   0.00   0.00   0.00   0.00 6030.62
 6.20 319988.48   0.00   0.00   0.00   0.00 6224.86
 6.30 325082.29   0.00   0.00   0.00   0.00 6421.93
