#   This    is  an  input   file    for the tower   top force   time-series in  the TMD module  of  ServoDyn
#                                                                   
#   it  has an  arbitrary   number  of  header  lines   denoted with    #!% characters                  
!   Another comment line                                                        
#                                                                   
#   Time,   Fx, Fy, Fz, Mx, My, Mz                                      
#   (s) (N) (N) (N) (N-m)   (N-m)   (N-m)                                       
0.0 0.0 0.0 0.0 0.0 0.0 0.0
200.1   1650000.0   0.0 0.0 0.0 0.0 -9685229.9
200.2   1650000.0   0.0 0.0 0.0 0.0 -9875667.7
200.3   1650000.0   0.0 0.0 0.0 0.0 -9872958.3
200.4   1650000.0   0.0 0.0 0.0 0.0 -9941206.8
200.5   1650000.0   0.0 0.0 0.0 0.0 -9890554.7
200.6   1650000.0   0.0 0.0 0.0 0.0 -9746001.9
200.7   1650000.0   0.0 0.0 0.0 0.0 -9906332.5
200.8   1650000.0   0.0 0.0 0.0 0.0 -9874906.2
200.9   1650000.0   0.0 0.0 0.0 0.0 -9729146.2
201.0   1650000.0   0.0 0.0 0.0 0.0 -9677314.4
201.1   1650000.0   0.0 0.0 0.0 0.0 -9823257.7
201.2   1650000.0   0.0 0.0 0.0 0.0 -9773679.3
201.3   1650000.0   0.0 0.0 0.0 0.0 -9621091.9
201.4   1650000.0   0.0 0.0 0.0 0.0 -9590046.2
201.5   1650000.0   0.0 0.0 0.0 0.0 -9781199.8
201.6   1650000.0   0.0 0.0 0.0 0.0 -9782857.2
201.7   1650000.0   0.0 0.0 0.0 0.0 -9676775.9
201.8   1650000.0   0.0 0.0 0.0 0.0 -9682637.5
201.9   1650000.0   0.0 0.0 0.0 0.0 -9719181.2
202.0   1650000.0   0.0 0.0 0.0 0.0 -9781221.3
202.1   1650000.0   0.0 0.0 0.0 0.0 -9844151.9
202.2   1650000.0   0.0 0.0 0.0 0.0 -9886787.9
202.3   1650000.0   0.0 0.0 0.0 0.0 -9903713.8
202.4   1650000.0   0.0 0.0 0.0 0.0 -9906931.9
202.5   1650000.0   0.0 0.0 0.0 0.0 -9914088.1
202.6   1650000.0   0.0 0.0 0.0 0.0 -9919461.1
202.7   1650000.0   0.0 0.0 0.0 0.0 -9910760.1
202.8   1650000.0   0.0 0.0 0.0 0.0 -9882958.7
202.9   1650000.0   0.0 0.0 0.0 0.0 -9841722.0
203.0   1650000.0   0.0 0.0 0.0 0.0 -9794051.6
203.1   1650000.0   0.0 0.0 0.0 0.0 -9569265.5
203.2   1650000.0   0.0 0.0 0.0 0.0 -9570003.3
203.3   1650000.0   0.0 0.0 0.0 0.0 -9694815.3
203.4   1650000.0   0.0 0.0 0.0 0.0 -9709038.5
203.5   1650000.0   0.0 0.0 0.0 0.0 -9510598.4
203.6   1650000.0   0.0 0.0 0.0 0.0 -9515324.8
203.7   1650000.0   0.0 0.0 0.0 0.0 -9649134.0
203.8   1650000.0   0.0 0.0 0.0 0.0 -9512077.7
203.9   1650000.0   0.0 0.0 0.0 0.0 -9569557.4
204.0   1650000.0   0.0 0.0 0.0 0.0 -9542880.5
204.1   1650000.0   0.0 0.0 0.0 0.0 -9617609.2
204.2   1650000.0   0.0 0.0 0.0 0.0 -9600683.9
204.3   1650000.0   0.0 0.0 0.0 0.0 -9679220.5
204.4   1650000.0   0.0 0.0 0.0 0.0 -9653631.8
204.5   1650000.0   0.0 0.0 0.0 0.0 -9535194.0
204.6   1650000.0   0.0 0.0 0.0 0.0 -9712385.8
204.7   1650000.0   0.0 0.0 0.0 0.0 -9696850.3
204.8   1650000.0   0.0 0.0 0.0 0.0 -9562192.1
204.9   1650000.0   0.0 0.0 0.0 0.0 -9513817.7
205.0   1650000.0   0.0 0.0 0.0 0.0 -9477394.0
205.1   1650000.0   0.0 0.0 0.0 0.0 -9450240.3
205.2   1650000.0   0.0 0.0 0.0 0.0 -9593272.6
